runtime	role	ingress	promotion	cookie	batch	sock_buf	conns	connect_cc	bond	bitrate	rep	established	pkt_sent	core_total	sec_a	sec_b	rtt_ms	elapsed_s	cpu_user_ms	cpu_sys_ms	peak_rss_kb
mio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	703692	343048	101	7	38.667	17.835	5522.5	11210.3	21216
mio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	400756	400756	68	0	0.000	14.208	2181.8	12023.7	12952
mio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	930561	400756	68	1	40.860	19.774	6137.7	11422.2	15488
mio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	329127	329127	44	0	0.000	11.634	1815.6	9809.4	14080
mio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	696900	329127	44	0	32.591	17.309	4800.5	9824.3	17408
mio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	584129	584129	103	0	0.000	20.475	3246.5	17226.0	15804
mio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	1363664	584129	103	1	26.859	26.178	8915.5	16014.9	15092
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	285485	285485	345	0	0.000	11.276	2433.4	8053.1	18788
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	504528	285485	345	1	18.690	70.010	5960.1	9598.9	16744
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	285590	285590	559	0	0.000	11.236	2386.0	8013.1	13560
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	525635	285590	559	9	26.873	70.015	6031.4	9102.4	15724
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	285732	285732	249	0	0.000	11.201	2239.4	8020.7	27564
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	480316	285732	249	0	25.598	70.011	5872.8	9706.8	21068
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	285848	285848	537	0	0.000	11.306	2381.6	7952.8	26704
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	461650	285848	537	6	28.688	70.010	5866.5	9986.3	23464
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	285416	285416	1199	0	0.000	10.073	2300.7	7715.3	19704
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	484611	285416	1199	0	20.372	70.005	5992.7	9189.8	16464
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	285563	285563	404	0	0.000	11.267	2486.5	7729.3	15964
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	529458	285563	404	7	18.652	70.012	6152.6	9117.7	16756
tokio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	285485	285485	510	0	0.000	11.278	2435.9	7645.9	18848
tokio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	508005	285485	510	3	17.524	70.013	5872.7	8952.5	19648
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	285464	285464	193	0	0.000	11.284	3186.0	9580.5	18532
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	281372	285464	193	3	4.203	70.010	8182.4	18859.8	20052
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	285342	285342	434	0	0.000	11.354	3101.0	9163.9	14940
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	280927	285342	434	0	5.966	70.011	8236.6	19690.7	18216
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	285423	285423	447	0	0.000	10.941	2917.9	8634.4	15172
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	281806	285423	447	0	5.284	70.013	8310.8	19554.2	18796
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	285557	285557	451	0	0.000	11.265	3176.6	9101.2	12928
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	281812	285557	451	0	7.932	70.006	8141.5	18974.5	16436
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	468	260844	260844	327	0	0.000	15.010	3147.5	9841.5	13124
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	468	257170	260844	327	48	7.464	70.006	7919.9	18492.9	16752
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	285447	285447	450	0	0.000	11.230	3189.5	9003.9	11468
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	281464	285447	450	0	4.291	70.009	8225.7	18039.8	15628
smol	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	286598	286598	316	0	0.000	11.251	3084.0	9238.0	13824
smol	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	282960	286598	316	1	11.531	70.013	8183.7	19086.9	16184
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	408	227485	227485	396	0	0.000	15.013	2888.3	7486.2	40152
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	512	224988	227485	396	0	54.379	70.015	6620.7	12473.8	19008
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	289009	289009	121	0	0.000	10.284	2870.2	7381.9	78236
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	512	284375	288858	268	0	354.980	70.021	5814.6	11700.6	19684
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	510	284526	284526	67	0	0.000	15.001	2821.7	7439.8	54828
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	3	512	281218	284526	67	0	304.516	70.017	5695.3	10249.8	16876
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	490	273663	273663	261	0	0.000	15.003	2795.8	7542.5	56672
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	4	512	269377	273649	275	0	313.316	70.010	5914.3	11517.2	17828
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	496	276563	276563	100	0	0.000	15.003	2575.5	7749.7	31840
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	5	512	273259	276563	100	0	212.916	70.011	6045.0	11551.2	16040
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	487	271524	271524	117	0	0.000	15.021	2678.8	7501.5	50500
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	6	512	268165	271524	117	0	270.198	70.016	6095.2	11741.2	16692
monoio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	480	268393	268393	252	0	0.000	15.011	2918.2	7305.0	102912
monoio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	7	512	258800	268297	348	0	288.419	70.011	5953.2	11760.9	35080
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	509	284065	284065	182	0	0.000	15.012	2909.6	7258.6	35124
glommio	listener	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	1	509	268707	284041	206	0	13.236	70.035	9248.4	30339.9	39948
glommio	caller	reuseport-single:4	all	on	on	16777216	512	50	broadcast:64	600000	2	491	273733	273733	178	0	0.000	15.017	2913.3	7528.2	27072
